Churn,AccountWeeks,ContractRenewal,DataPlan,DataUsage,CustServCalls,DayMins,DayCalls,MonthlyCharge,RoamMins
0,82,1,0,0.17,1,143.9,61,43.7,11.1
1,155,1,0,0,0,203.4,100,51,8.9
0,80,1,0,0,1,124.3,100,36,7.9
0,78,1,0,0,3,252.9,93,59,9.5
0,90,1,0,0,3,179.1,71,47,10.6
0,104,1,0,0.3,1,278.4,106,58,9.8
0,73,1,0,0,0,160.1,110,46,13
0,99,1,0,0,4,198.2,87,52,8.7
1,120,1,0,0,1,212.1,131,54,5.3
1,77,1,0,0,2,251.8,72,61,9.8
0,98,1,1,1.19,4,161.2,114,60.9,4.4
0,108,1,0,0.34,0,178.3,137,50.4,14.6
0,135,1,0,0,0,151.7,82,36,10.5
0,95,1,0,0,1,135,99,39,12.5
0,122,1,0,0.39,1,170.5,94,47.9,11.3
0,95,1,0,0,4,238.1,65,57,11.8
0,36,1,1,2.43,2,281.4,102,90.3,9
0,93,1,1,2.65,1,117.9,131,61.5,9.8
0,141,1,1,2.73,1,148.6,91,64.3,10.1
0,157,1,0,0,3,229.8,90,52,9.6
0,120,1,0,0,1,165,100,56,8.3
0,103,1,0,0,2,185,117,51,12.6
0,98,1,0,0,4,161,117,44,12.1
0,125,1,0,0,1,126.7,108,40,13.3
0,63,1,0,0,1,58.9,125,25,9.4
1,36,0,1,5.4,0,196.8,89,110,20
0,64,1,0,0.29,1,162.6,83,43.9,14.2
1,74,1,0,0.21,1,282.5,114,69.1,9.4
0,112,1,1,2.7,2,113.7,117,60,10
0,97,1,0,0,2,239.8,125,60,8.7
0,46,1,0,0.21,1,210.2,92,58.1,13.1
0,41,1,1,1.94,0,213.8,102,68.4,7.2
0,121,1,0,0,3,190.7,103,49,9.8
0,193,1,0,0,1,170.9,124,41,11.6
0,130,1,0,0,2,154.2,119,36,9.2
0,85,1,0,0.4,1,201.4,52,58,12
1,162,1,0,0,4,70.7,108,26,9.1
1,61,1,1,1.73,4,187.5,124,62.3,6.4
0,92,1,0,0,2,91.7,90,33,9.2
0,131,1,1,2.57,3,214.2,115,76.7,9.5
0,90,1,0,0,3,145.5,92,44,10.9
0,75,1,0,0,1,166.3,125,42,6.1
0,78,1,0,0,1,231,115,59,9.5
0,82,1,0,0,4,200.3,96,52,7.1
0,163,1,0,0,1,197,109,51,9.1
0,91,0,0,0.31,3,129.9,112,40.1,11.2
0,75,1,1,1.43,5,175.8,97,63.3,5.3
0,91,1,0,0,3,203.1,106,53,12
0,127,1,1,3.02,1,183.2,117,72.2,11.2
0,113,1,1,2.75,2,205,101,75.5,10.2
0,110,1,0,0,1,148.5,115,49,12.4
0,120,1,1,2.84,0,200.3,68,81.4,10.5
0,157,1,1,1.84,3,192.6,107,68.4,6.8
0,103,1,0,0,1,246.5,47,59,11.7
1,117,0,0,0,2,167.1,86,44,14.1
0,140,1,0,0,3,231.9,101,54,14.3
0,127,1,0,0,1,146.7,91,43,13.7
0,83,0,0,0.26,1,271.5,87,67.6,11.7
0,121,1,0,0,1,181.5,121,50,8.5
0,145,1,1,3,2,257.7,97,88,11.1
0,113,1,0,0,1,193.8,99,52,10.6
0,117,1,0,0,1,102.8,119,36,10.1
0,65,1,0,0,1,187.9,116,46,7.5
0,56,1,0,0,1,226,112,60,6.9
0,96,1,0,0,5,260.4,115,57,11.5
0,151,1,0,0,0,178.7,116,56,9.8
1,83,1,0,0,0,337.4,120,77,15.8
0,139,1,1,3.7,0,157.6,129,85,13.7
0,6,1,0,0,1,183.6,117,54,10.2
0,115,1,1,2.59,1,142.1,124,65.9,9.6
0,87,1,0,0.31,0,136.3,97,41.1,7.1
0,141,1,0,0,0,217.1,110,58,12
0,141,1,1,2.84,3,187.5,99,81.4,10.5
0,62,1,0,0,1,98.9,103,29,12.2
0,146,1,0,0,1,206.3,151,48,6.1
0,92,1,1,3.27,2,243.1,92,92.7,12.1
0,185,1,1,2.03,1,189.8,126,67.3,7.5
0,148,1,0,0.39,1,202,102,59.9,10.9
0,94,1,1,3.46,1,170.1,124,80.6,12.8
0,32,1,0,0,0,230.9,87,56,6.3
0,68,1,0,0,1,237.1,105,60,13.2
0,64,1,1,2.86,2,182.1,91,74.6,10.6
0,25,1,0,0.14,3,119.3,87,40.4,10.5
0,65,1,0,0,1,116.8,87,36,14.1
0,179,1,0,0,0,219.2,92,50,6.1
0,94,1,0,0,2,252.6,104,58,11.1
0,62,1,0,0,0,147.1,91,42,12.2
0,127,1,0,0,2,202.1,103,54,11.5
0,116,1,0,0.23,3,173.5,93,48.3,16.2
0,70,1,0,0,3,232.1,122,65,0
0,94,0,1,2.57,4,197.1,125,77.7,9.5
1,126,1,0,0,5,58.2,94,22,11.9
0,67,1,1,2.67,2,115.6,111,66.7,9.9
0,19,1,0,0.14,2,186.1,98,55.4,14.6
0,170,0,0,0,3,259.9,68,66,8.4
0,73,1,0,0,1,214.3,145,60,10.8
0,106,1,0,0,1,158.7,74,33,10.2
0,93,1,0,0.19,2,271.6,71,67.9,10.9
0,164,1,0,0.27,1,160.6,111,44.7,9
0,51,1,0,0,1,232.4,109,56,9.1
0,107,1,0,0,0,133.8,85,39,8.9
0,130,1,0,0.35,1,176.9,109,41.5,9.5
0,80,1,0,0,2,209.9,74,53,8.8
0,94,1,0,0.22,0,137.5,118,43.2,13.4
0,118,1,1,2.57,1,289.5,52,89.7,9.5
0,117,1,1,1.84,1,198.1,86,67.4,6.8
0,78,1,0,0,0,149.7,119,41,9.7
1,208,1,0,0.33,2,326.5,67,74.3,10.7
1,131,0,1,3.73,4,292.9,101,104.3,13.8
0,63,1,0,0,0,83,64,30,13
0,53,1,1,3.54,3,145.7,146,79.4,13.1
0,62,1,0,0,2,182.3,101,59,11.2
0,97,1,0,0,3,218,86,53,6.4
0,105,1,0,0,2,140.6,109,40,6.8
0,157,1,0,0,1,152.7,105,48,9.4
0,66,1,1,3.27,1,106.7,76,68.7,12.1
0,122,1,0,0,2,243.8,98,49,13.7
0,38,1,0,0,3,194.4,94,49,10.8
0,106,1,0,0,3,213.9,95,50,12.2
0,99,1,0,0,3,217.2,112,58,15.8
0,99,1,0,0,1,241.1,72,55,11.6
0,144,0,0,0,0,203.5,100,56,11.9
0,82,1,1,2.89,1,155.2,131,76.9,10.7
0,86,1,1,3.29,1,167.6,139,71.9,12.2
1,70,0,0,0,2,226.7,98,58,17.6
0,93,1,0,0,3,179.3,93,46,11.5
0,93,1,0,0.31,0,151.4,89,45.1,10.9
0,120,1,0,0,3,180,80,50,4.7
1,136,1,0,0,1,250.2,121,66,13
0,106,1,0,0.4,0,223,121,52,7.1
0,81,1,0,0,3,183.6,116,45,12.2
0,127,1,1,2.75,1,166,114,71.5,10.2
0,65,1,0,0,1,136.1,112,47,4.4
0,35,1,0,0.32,2,149.3,113,49.2,8.9
0,88,1,0,0,2,65.4,97,26,13.8
0,65,1,0,0,1,213.4,111,57,2.7
0,123,1,0,0,3,206.9,85,56,7.7
0,126,1,1,2.59,2,186.2,78,73.9,9.6
0,104,1,1,3.59,4,280.2,136,102.9,13.3
0,45,1,1,3.21,0,196.6,84,93.1,11.9
1,93,0,0,0,0,312,109,65,10.5
0,63,0,1,2.97,1,199,110,88.7,11
0,100,1,0,0.25,3,203.1,96,55.5,13.5
0,53,1,0,0,0,168.8,97,48,10.9
0,92,0,0,0,1,173.1,140,50,9
1,139,1,0,0,5,134.4,106,41,10.2
0,110,1,1,2.43,2,202.6,103,69.3,9
0,110,1,0,0.31,3,74.5,117,33.1,9.8
0,215,1,0,0.31,0,83.6,148,28.1,10.7
0,73,1,0,0,1,192.2,86,47,9.4
0,138,1,0,0,0,220.2,89,45,12.9
1,137,0,0,0,2,135.1,95,35,12.3
0,36,1,0,0.25,1,253.4,77,61.5,8.4
0,85,1,0,0,3,225,81,54,7.1
1,108,1,0,0,0,198.5,99,57,9.4
0,22,1,0,0,0,110.3,107,33,9.5
0,107,1,1,3,0,60,102,49,11.1
0,51,1,0,0,0,214.8,94,50,10.2
0,94,1,0,0,4,181.8,85,49,9.2
0,119,1,1,3.19,2,154,114,81.9,11.8
1,33,1,1,3.75,4,157.4,99,74.5,13.9
0,106,1,0,0,4,207.9,91,50,14.4
0,82,1,0,0,3,207,90,55,9.1
0,86,1,1,2.57,0,119,101,65.7,9.5
0,97,0,0,0.28,0,143.7,117,50.8,10.9
0,106,1,1,3.81,4,165.9,126,85.1,14.1
0,108,1,0,0,1,138.6,122,39,9.8
0,114,1,0,0.29,1,84.7,118,38.9,14.5
1,92,0,0,0,1,62.6,111,26,10.4
0,59,1,0,0,1,155.2,79,47,8.7
0,24,1,1,1.81,1,164.9,110,64.1,6.7
0,151,1,0,0,1,134.5,88,36,15.4
0,117,1,0,0,1,143.3,103,43,11.5
0,78,1,0,0.51,1,168.3,110,53.1,12.5
0,155,1,0,0,2,262.4,55,62,8.3
0,114,1,1,3.08,1,206.2,79,88.8,11.4
0,114,1,1,2.27,4,225.8,94,77.7,8.4
0,119,1,0,0,3,138.3,89,38,13.5
0,64,1,1,1.22,0,94.4,104,40.2,4.5
0,118,0,0,0,2,160,123,43,9.9
0,101,1,0,0,0,206.6,105,55,14.6
0,117,1,0,0,1,134.7,121,39,7.7
0,49,1,1,2.16,3,214.4,78,78.6,8
0,139,1,0,0,3,192.8,104,53,13
0,92,1,1,2.7,1,151.1,90,70,10
0,83,1,0,0,3,221.4,103,58,9.8
0,148,0,0,0,0,218.9,88,55,11.1
1,144,1,1,1.76,2,189.8,96,60.6,6.5
0,131,1,1,2.94,2,192.7,85,81.4,10.9
0,146,0,0,0,3,204.4,135,54,10.5
0,143,1,0,0.42,2,172.3,97,49.2,13
0,81,1,0,0.13,2,198.4,93,53.3,10.4
0,48,1,1,3.29,1,211.7,115,82.9,12.2
0,86,1,1,2.43,1,221.6,74,87.3,9
0,71,1,0,0,3,197.9,108,50,6.7
0,145,1,1,4.21,2,147.5,90,83.1,15.6
0,137,1,0,0,2,206.4,122,46,8.8
0,137,1,0,0.27,2,205.9,88,55.7,14.5
0,167,1,0,0,0,207.6,88,47,14.1
1,89,1,0,0,1,303.9,95,74,5.3
0,199,1,1,2.16,0,230.6,121,79.6,8
0,132,1,0,0,0,99.5,110,28,9.7
0,94,1,0,0,1,177.1,112,47,5.9
1,96,1,1,2.78,5,172.7,93,67.8,10.3
0,96,1,1,2.65,1,172.7,86,67.5,9.8
0,166,1,0,0.29,1,204.2,115,52.9,9.5
0,74,1,0,0.2,2,85.7,83,38,10.1
0,36,1,0,0.34,0,157.6,117,46.4,11.9
0,113,1,0,0,4,215.5,129,56,6.6
0,94,1,0,0,1,181.5,98,48,6.6
0,67,1,0,0,2,171.7,80,39,11.9
1,127,1,0,0.26,1,266.6,106,70.6,5.9
1,121,1,0,0,0,170.4,108,59,11.2
0,158,1,0,0,1,158,106,52,9.1
0,136,1,0,0.34,1,92,117,41.4,10.3
0,196,1,0,0,2,234,109,61,9.1
1,113,1,0,0,1,272.1,111,70,8.5
1,122,1,0,0,4,296.4,99,69,11.4
0,112,1,0,0.29,0,194.4,101,52.9,11.4
0,209,1,0,0,3,227.2,128,61,8.9
1,62,1,0,0,1,248.7,109,61,13.2
0,110,1,1,2.62,1,236.3,102,83.2,9.7
0,16,1,0,0,0,205.6,69,50,10.9
0,73,1,0,0,0,94.1,136,40,9.8
0,128,1,0,0,0,125.2,99,39,18.9
0,39,1,0,0.23,1,60.4,158,39.3,12.4
0,103,1,1,2.08,2,121,105,64.8,7.7
0,119,1,1,2.05,3,117.8,66,62.5,7.6
0,173,1,1,1.35,3,232.4,96,71.5,5
1,128,0,1,2.54,2,223.5,81,80.4,9.4
0,86,1,0,0,0,176.3,79,52,6.2
0,114,1,1,3.48,1,125.2,79,71.8,12.9
0,104,1,0,0,0,138.7,107,46,10
0,148,1,0,0,1,86.3,134,36,11.3
0,129,1,0,0,3,207,91,49,13.4
0,100,1,1,1.92,0,58.8,104,48.2,7.1
0,121,1,1,3.08,1,68.7,95,60.8,11.4
0,143,1,1,2.57,1,239.2,109,86.7,9.5
0,76,1,0,0,0,198.3,130,53,12.5
0,158,1,0,0.14,0,205.2,97,57.4,14.4
0,116,1,0,0.24,3,192.1,98,62.4,7.9
1,54,1,0,0,1,272.6,83,68,9.5
1,86,1,0,0.3,7,128.3,121,42,12.2
0,108,1,0,0,0,169.6,99,52,9.3
0,66,1,0,0,1,201.3,95,48,7.5
0,151,1,1,2.32,1,214.7,97,72.2,8.6
0,99,1,0,0,0,169.2,70,52,10.6
0,55,1,0,0,2,194.1,121,49,7
0,77,1,0,0,2,233.8,104,63,7.6
0,78,1,0,0,0,225.1,67,56,14.6
1,89,1,0,0,1,213,63,52,9.1
0,101,1,0,0,1,183.9,115,54,10.8
0,44,1,1,3.78,0,221.8,105,89.8,14
0,98,1,1,0,2,64.6,98,26,0
0,64,1,1,3.59,1,154.6,92,69.9,13.3
0,141,1,0,0,3,260.2,131,60,7.2
0,81,1,1,3.29,1,161.6,117,70.9,12.2
0,162,1,0,0,1,220.6,117,51,10.5
0,83,1,1,3.54,3,155.9,122,76.4,13.1
1,100,1,0,0.34,4,107,63,31.4,12.8
0,59,1,0,0.51,4,182.5,104,54.1,11.3
0,179,0,1,2.73,4,220.1,78,85.3,10.1
0,79,1,0,0,1,152.2,112,41,5.3
0,117,1,0,0,2,181.5,95,49,14.7
1,64,0,0,0.18,2,236.2,77,60.8,13.2
0,31,1,0,0.28,1,166.1,105,37.8,12.7
0,124,0,0,0,1,244.6,89,58,11.3
0,122,1,1,2.3,2,134.2,85,66,8.5
0,37,0,1,2.48,1,149.7,122,68.8,9.2
0,90,1,1,1.57,1,150.1,109,64.7,5.8
1,159,0,0,0.44,1,257.1,53,75.4,8.8
0,148,1,0,0,0,124.4,83,37,11.3
0,39,1,1,3.24,1,141.7,121,76.4,12
0,77,1,0,0.14,2,230,87,49.4,11.3
0,194,1,0,0,0,162.3,88,46,10.9
1,154,1,0,0,1,350.8,75,79,10.1
0,112,1,0,0,4,193.3,96,56,9.1
0,45,1,0,0,1,78.2,127,35,18
0,132,1,0,0.22,1,83.4,110,36.2,7.6
0,128,1,0,0.28,0,195.6,99,59.8,16
0,135,1,0,0.42,1,201.8,81,58.2,10.3
0,56,1,0,0,2,197,110,53,10.6
1,151,0,0,0.29,0,218,57,49.9,12.4
0,32,1,0,0,2,164.8,98,48,14.8
0,90,1,0,0,2,179.2,77,49,9.2
0,87,1,1,2.86,0,214,113,80.6,10.6
0,138,1,0,0.43,2,170.5,87,44.3,11.2
0,79,1,0,0,1,205.7,123,54,6.7
1,95,0,0,0,1,165.5,84,53,11.5
0,127,1,0,0.33,2,221,100,55.3,6.8
0,137,1,0,0,3,242.1,118,58,14.7
0,97,1,0,0,1,151.6,107,39,14.7
0,149,0,0,0.18,0,176.2,87,44.8,5.7
0,117,0,1,1,1,196,82,71,3.7
0,84,1,0,0,2,159.5,125,49,7.2
0,137,1,0,0.45,4,230.2,113,62.5,10.7
0,99,1,0,0,3,146.7,64,49,8.9
0,54,1,0,0,1,210.5,102,54,8.5
0,85,1,0,0,1,102,95,41,10.7
0,150,1,0,0.36,3,126,99,45.6,10.2
0,43,1,0,0,1,168.4,125,50,11.1
0,35,1,0,0,0,105.6,129,40,8.7
0,98,1,0,0,5,206.5,92,51,12.4
0,112,1,0,0.27,2,217.1,76,57.7,9.4
1,16,1,0,0,0,229.6,78,57,10.8
0,98,1,1,2.62,0,278.3,89,82.2,9.7
0,84,1,0,0,0,138.6,102,41,7.8
1,94,1,0,0.18,1,234.4,103,65.8,2
0,84,1,0,0,1,181.5,129,42,8.5
1,66,1,0,0,1,167.3,91,48,10.6
0,98,1,1,3.24,1,121,105,72.4,12
0,74,1,0,0,0,221.1,124,48,10.6
0,96,1,1,2.67,1,145.8,108,68.7,9.9
0,119,1,0,0.34,1,222.8,122,55.4,11.2
0,73,1,0,0,4,183.4,80,52,7.5
0,92,0,0,0,0,264.3,91,59,9.3
0,21,1,0,0,0,146,78,35,6.8
1,122,1,0,0.29,4,157.1,134,45.9,8.5
0,133,0,0,0,1,127.3,108,43,10.3
0,145,1,0,0,2,187.9,110,49,4.8
0,25,1,0,0.26,2,178.8,90,45.6,8.4
0,64,1,0,0.28,2,97.2,80,35.8,10.4
0,85,1,0,0.2,0,259.8,85,67,5.4
0,126,1,0,0,3,256.5,112,61,7
0,76,1,0,0,0,169.5,77,40,10
1,113,1,0,0,2,239.7,47,65,8.7
1,224,0,0,0.26,1,171.5,99,45.6,5
0,117,1,0,0,0,239.9,84,56,9.8
0,128,1,1,4.32,1,142.3,73,84.2,16
0,115,1,0,0,2,184.1,98,60,7.5
0,141,1,1,2.51,2,206.9,126,83.1,9.3
0,51,1,0,0,1,259.9,114,60,15.3
0,100,1,0,0,0,203.8,122,59,12.5
0,96,1,1,2.78,3,248.8,124,82.8,10.3
0,112,1,1,3.05,1,221.6,110,79.5,11.3
0,129,0,0,0.39,1,192.9,131,52.9,10.9
0,163,1,0,0,1,122.4,129,31,12.5
0,67,1,1,2.59,1,104.9,65,62.9,9.6
0,140,1,0,0,3,173.2,91,47,11.2
0,49,1,0,0,2,119.4,69,44,12.4
1,46,1,0,0,2,250.3,100,65,13.3
0,148,1,0,0.39,1,178.3,98,58.9,11.4
0,112,1,0,0,1,243.4,77,57,12.8
0,78,1,0,0,2,155,106,42,11.8
0,61,1,1,2.32,0,288.7,101,90.2,8.6
0,58,1,1,3.02,1,240.4,80,81.2,11.2
0,155,1,0,0,1,190.3,123,58,8
1,100,1,0,0.32,0,278,76,66.2,8.3
0,113,1,0,0,1,155,93,55,13.5
0,81,1,0,0,2,153.5,99,43,6.3
0,135,1,1,3.32,1,273.4,141,93.2,12.3
0,99,1,0,0,0,155.3,93,49,12.4
0,59,1,1,1.84,1,133.1,114,60.4,6.8
0,135,1,0,0,1,246.8,129,58,12.6
0,85,0,0,0,2,165.4,107,45,9.6
0,70,1,0,0.31,0,59.5,103,35.1,11.1
0,88,1,0,0,3,138.3,116,44,9.6
0,55,1,0,0,2,286.7,100,61,6.9
0,75,1,0,0.34,1,117.3,114,41.4,12.2
0,79,1,1,1.7,4,264.3,79,80,6.3
0,85,1,0,0.25,0,127.9,107,47.5,12.5
0,86,1,1,2.65,0,225.5,107,86.5,9.8
0,91,1,0,0,0,149,115,47,8.3
0,149,1,1,3.86,1,198.9,77,96.6,14.3
1,97,1,0,0,1,256.4,125,67,11.1
1,88,1,0,0,1,264.8,124,66,14.8
0,60,1,0,0,2,98.2,88,33,9.3
0,54,1,0,0.16,2,159.8,99,51.6,9.7
0,11,1,1,1.62,3,190.6,86,68.2,6
0,109,1,0,0,0,184,120,42,11
0,90,1,0,0,1,261.8,128,64,9.6
0,115,1,0,0,3,147.9,109,45,9.6
0,144,1,1,2.73,1,106.4,109,55.3,10.1
0,91,1,0,0,0,133.7,75,40,5.9
0,105,1,1,2.3,0,193.5,85,75,8.5
1,71,0,0,0,3,178.2,113,45,13.6
1,132,1,1,2.84,3,226.2,103,82.4,10.5
0,112,1,0,0.38,1,170.4,103,49.8,11.6
0,86,1,1,3,3,70.9,163,57,11.1
0,41,1,1,4.64,2,194.4,63,101.4,17.2
0,44,1,0,0,1,240.3,146,55,10.6
0,78,1,0,0,3,75,116,34,9.5
0,149,1,0,0,1,69.1,117,24,6.3
1,72,1,1,1.67,4,96.6,59,60.7,6.2
0,139,1,1,4,0,214.6,101,97,14.8
0,74,1,0,0,3,148.5,111,38,9.9
0,50,1,0,0.29,1,258.1,106,60.9,11.7
0,141,1,1,2.05,3,149.7,112,60.5,7.6
0,140,1,0,0,1,149.8,134,40,8.1
0,99,1,0,0,2,190.4,102,46,11.2
0,166,1,0,0.21,1,181.4,108,55.1,11.6
0,124,1,0,0,1,151.1,123,42,5.3
0,74,1,0,0,0,155.7,116,42,8.1
0,117,1,0,0,2,149.9,95,48,13.3
0,85,1,0,0,3,222.3,132,58,11
0,36,1,1,1.81,0,149.4,111,55.1,6.7
0,102,0,0,0,0,233.8,103,59,12.8
0,76,1,0,0,0,204.2,100,60,10.5
0,165,1,0,0,1,242.9,126,60,0
0,130,1,0,0,1,150.4,119,46,12.3
0,78,1,0,0,0,208.9,119,57,12.8
1,55,0,0,0.32,1,191.9,91,58.2,14.3
1,92,0,0,0.21,2,130.7,113,47.1,9.4
0,129,1,1,1.59,2,119.6,104,60.9,5.9
0,18,1,0,0,1,273.6,93,57,8.2
0,161,0,0,0,2,156.1,114,42,11.1
0,93,1,1,2.16,2,178.7,134,67.6,8
0,144,1,0,0,2,177.5,93,55,11.9
1,75,0,0,0,4,211.3,61,45,9.7
0,95,1,0,0,1,175.2,91,51,7.5
0,126,1,1,3.4,3,114.3,102,70,12.6
0,124,1,1,2.03,1,251.4,104,82.3,7.5
1,93,0,0,0,1,216.9,61,55,17.5
0,109,0,1,2.51,0,217.2,138,75.1,9.3
0,80,1,0,0,0,206.3,97,49,12.4
0,41,1,0,0.19,1,159.3,66,39.9,11.1
0,136,1,1,3.08,2,143.1,88,75.8,11.4
1,92,1,0,0,3,154,122,55,5.6
0,143,1,1,3.13,1,186.6,69,82.3,11.6
1,118,1,1,2.59,5,170.8,114,71.9,9.6
0,193,1,1,3.32,1,124,102,72.2,12.3
0,73,1,0,0,3,198.3,94,58,14.8
0,62,1,0,0,2,172.8,101,47,9.1
0,30,1,1,1.78,0,217.4,74,73.8,6.6
1,60,0,1,3.78,0,265.9,113,101.8,14
0,148,1,1,4.73,1,93.6,137,80.3,17.5
0,96,1,0,0,2,98.2,100,43,7.6
0,52,1,0,0.35,2,214.7,68,53.5,9.4
0,87,1,0,0,1,168.2,92,48,12.9
0,41,1,0,0.21,3,202.9,97,50.1,9
0,112,1,0,0,1,261.4,108,58,11.6
1,88,1,0,0,4,73.3,86,27,8.2
0,122,1,1,2.48,7,253.7,84,87.8,9.2
0,61,1,0,0,2,45,108,21,9.8
0,87,1,0,0.38,1,231.3,105,57.8,13
0,176,1,0,0.25,2,47.4,125,25.5,10.5
0,30,1,0,0,0,227.4,88,55,12.5
0,95,1,1,3.21,0,40.9,126,51.1,11.9
0,46,1,0,0,2,124.8,133,35,8.6
0,100,0,0,0.19,0,68.5,110,42.9,12.1
0,47,1,1,2.11,2,163.5,77,67.1,7.8
0,77,1,0,0,2,163,112,47,6.7
0,98,1,1,2.89,2,213.7,61,86.9,10.7
0,125,1,1,1.46,1,201.3,117,52.6,5.4
0,67,1,0,0.22,4,310.4,97,61.2,9.2
0,194,1,0,0,1,48.4,101,33,18.2
0,128,1,1,3.78,1,171.2,88,79.8,14
0,190,1,1,2.3,0,166.5,93,67,8.5
0,165,1,0,0,0,216.6,126,54,12.4
0,59,1,0,0,2,107.8,113,37,9.9
0,47,1,1,2.11,1,141.3,94,60.1,7.8
0,150,1,1,1.78,0,209.9,77,67.8,6.6
1,152,0,1,3.83,9,237.5,120,100.3,14.2
0,26,1,0,0,3,234.5,109,59,3.5
0,79,1,1,3.29,3,103.1,90,71.9,12.2
0,95,1,1,3.21,1,129.5,106,76.1,11.9
1,69,0,0,0,2,279.8,90,69,8.4
